Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-09-30,ADANIGREEN,EQ,1138.65,1139.0,1159.0,1125.0,1144.9,1146.6,1142.05,1551279,177163085310000.0,18372,1076769,0.6940999999999999
2021-10-01,ADANIGREEN,EQ,1146.6,1147.95,1189.9,1146.6,1147.5,1151.05,1155.46,447943,51758010980000.0,29079,302224,0.6747
2021-10-04,ADANIGREEN,EQ,1151.05,1161.0,1180.0,1152.25,1178.1,1176.1,1170.16,278908,32636583770000.0,14887,151897,0.5446
2021-10-05,ADANIGREEN,EQ,1176.1,1203.0,1230.0,1199.3,1220.7,1222.2,1218.09,583547,71081307140000.0,36344,328259,0.5625
2021-10-06,ADANIGREEN,EQ,1222.2,1231.9,1264.8,1203.3,1211.0,1214.6,1233.23,375503,46308117900000.0,24410,222345,0.5921000000000001
2021-10-07,ADANIGREEN,EQ,1214.6,1225.0,1237.0,1202.1,1208.1,1205.65,1213.51,179544,21787754360000.0,12385,115239,0.6418
2021-10-08,ADANIGREEN,EQ,1205.65,1219.8,1220.0,1152.05,1183.05,1176.55,1190.34,174740,20800002175000.0,12733,102419,0.5861
2021-10-11,ADANIGREEN,EQ,1176.55,1199.3,1211.2,1159.0,1161.7,1162.1,1175.58,181216,21303471765000.0,11362,116440,0.6425
2021-10-12,ADANIGREEN,EQ,1162.1,1185.0,1220.0,1150.0,1208.95,1208.35,1190.25,418421,49802364460000.0,18931,252943,0.6045
2021-10-13,ADANIGREEN,EQ,1208.35,1208.35,1220.0,1180.0,1193.95,1193.5,1199.57,265060,31795804585000.004,15506,167077,0.6303
2021-10-14,ADANIGREEN,EQ,1193.5,1203.0,1212.25,1196.1,1204.4,1206.55,1206.61,250393,30212742920000.0,13389,152516,0.6091
2021-10-18,ADANIGREEN,EQ,1206.55,1221.0,1237.0,1200.1,1203.0,1203.65,1216.8,254046,30912271625000.0,14280,173668,0.6836
2021-10-19,ADANIGREEN,EQ,1203.65,1210.0,1214.4,1170.1,1183.2,1181.35,1192.38,176429,21036995675000.0,14034,115301,0.6535
2021-10-20,ADANIGREEN,EQ,1181.35,1195.0,1210.0,1122.3,1184.95,1179.15,1182.63,241623,28575025610000.004,14983,165196,0.6837000000000001
2021-10-21,ADANIGREEN,EQ,1179.15,1190.0,1203.95,1173.1,1202.5,1198.95,1195.59,271740,32489056405000.0,15059,185361,0.6820999999999999
2021-10-22,ADANIGREEN,EQ,1198.95,1200.9,1210.0,1177.0,1202.95,1202.15,1195.51,301252,36014900060000.0,22128,176449,0.5857
2021-10-25,ADANIGREEN,EQ,1202.15,1212.0,1212.0,1148.55,1203.8,1202.4,1187.75,218738,25980604410000.0,14647,128816,0.5889
2021-10-26,ADANIGREEN,EQ,1202.4,1188.0,1199.8,1172.0,1175.5,1179.95,1183.2,138432,16379265110000.0,14675,88247,0.6375000000000001
2021-10-27,ADANIGREEN,EQ,1179.95,1190.0,1211.0,1180.1,1202.0,1206.1,1199.0,381133,45697969115000.0,16663,287341,0.7539
2021-10-28,ADANIGREEN,EQ,1206.1,1204.5,1208.6,1145.8,1154.75,1147.15,1161.08,314777,36548175750000.0,16098,209580,0.6658
2021-10-29,ADANIGREEN,EQ,1147.15,1155.0,1189.15,1106.0,1155.0,1152.85,1139.05,364243,41489084025000.0,21436,175232,0.4811
2021-11-01,ADANIGREEN,EQ,1152.85,1155.0,1178.05,1141.0,1169.0,1172.35,1167.8,1215021,141889815825000.0,28023,818407,0.6736
2021-11-02,ADANIGREEN,EQ,1172.35,1178.0,1184.45,1135.8,1183.95,1174.25,1159.08,1638199,189880629450000.0,44080,937296,0.5722
2021-11-03,ADANIGREEN,EQ,1174.25,1175.0,1220.0,1162.4,1215.15,1204.5,1181.38,1848796,218412887150000.0,34714,1066488,0.5769
2021-11-04,ADANIGREEN,EQ,1204.5,1215.0,1224.8,1195.1,1202.0,1200.4,1207.22,37041,4471676720000.0,3396,24629,0.6648999999999999
2021-11-08,ADANIGREEN,EQ,1200.4,1224.35,1235.0,1201.0,1223.0,1226.0,1211.88,1615093,195729646935000.0,31240,966874,0.5986
2021-11-09,ADANIGREEN,EQ,1226.0,1215.0,1235.0,1203.05,1219.1,1230.8,1223.55,2220381,271675346105000.03,28982,1221739,0.5502
2021-11-10,ADANIGREEN,EQ,1230.8,1223.0,1232.4,1206.8,1222.0,1228.85,1224.41,1819508,222781568285000.0,26917,1005510,0.5526
2021-11-11,ADANIGREEN,EQ,1228.85,1231.95,1248.0,1211.5,1231.0,1230.8,1225.59,1536247,188281223510000.0,30771,875822,0.5700999999999999
2021-11-12,ADANIGREEN,EQ,1230.8,1248.0,1292.3,1237.35,1292.3,1292.3,1272.07,1685194,214369102135000.0,53473,1153340,0.6844
2021-11-15,ADANIGREEN,EQ,1292.3,1330.0,1334.0,1284.05,1306.8,1305.05,1303.53,1955088,254852093705000.03,53629,1196461,0.612
2021-11-16,ADANIGREEN,EQ,1305.05,1314.0,1329.0,1291.0,1304.0,1314.35,1308.78,2043814,267491076565000.0,36824,1286507,0.6295000000000001
2021-11-17,ADANIGREEN,EQ,1314.35,1305.0,1358.3,1294.0,1297.0,1313.5,1320.36,2180190,287863201355000.0,47525,1246606,0.5718
2021-11-18,ADANIGREEN,EQ,1313.5,1299.8,1355.0,1292.4,1344.0,1345.75,1325.1,2032876,269376396869999.97,38818,1476477,0.7263
2021-11-22,ADANIGREEN,EQ,1345.75,1358.0,1367.9,1321.25,1327.05,1340.95,1338.49,2725159,364761042335000.0,51024,1582396,0.5807
2021-11-23,ADANIGREEN,EQ,1340.95,1329.45,1407.95,1309.3,1407.95,1407.05,1354.01,3017882,408623820610000.0,41824,1681425,0.5572
2021-11-24,ADANIGREEN,EQ,1407.05,1420.0,1429.0,1370.0,1381.1,1391.35,1406.33,3007303,422925555470000.0,54744,1767070,0.5876
2021-11-25,ADANIGREEN,EQ,1391.35,1394.8,1418.7,1370.0,1404.55,1405.05,1400.68,1430455,200360784340000.0,31572,858331,0.6
2021-11-26,ADANIGREEN,EQ,1405.05,1371.05,1403.9,1346.05,1366.0,1372.55,1377.35,1609398,221669720910000.0,45037,1010347,0.6278
2021-11-29,ADANIGREEN,EQ,1372.55,1346.0,1364.8,1303.95,1345.0,1352.75,1330.44,424967,56539336200000.0,26805,213063,0.5014000000000001
2021-11-30,ADANIGREEN,EQ,1352.75,1349.0,1414.0,1285.15,1285.15,1295.4,1322.16,1651907,218408583100000.0,46276,1039252,0.6291
2021-12-01,ADANIGREEN,EQ,1295.4,1235.0,1336.8,1235.0,1322.1,1328.6,1305.57,1225618,160012872900000.0,70083,811011,0.6617000000000001
2021-12-02,ADANIGREEN,EQ,1328.6,1338.0,1370.0,1317.0,1349.45,1341.6,1341.56,454785,61012203315000.0,33832,259446,0.5705
